73257.199956384 [MEMLOG_E_WCET_START]	diff = 0.031037031
73257.200930596 [MEMLOG_E_S1_DONE]	diff = 0.000974212
73257.200931377 [MEMLOG_E_S1_RUN]	diff = 0.000000781
73257.235975048 [MEMLOG_E_WCET_START]	diff = 0.035043671
73257.236886188 [MEMLOG_E_S1_DONE]	diff = 0.000911140
73257.236886605 [MEMLOG_E_S1_RUN]	diff = 0.000000417
73257.267965563 [MEMLOG_E_WCET_START]	diff = 0.031078958
73257.268888577 [MEMLOG_E_S1_DONE]	diff = 0.000923014
73257.268889150 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73257.299948785 [MEMLOG_E_WCET_START]	diff = 0.031059635
73257.300906696 [MEMLOG_E_S1_DONE]	diff = 0.000957911
73257.300907373 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73257.335939481 [MEMLOG_E_WCET_START]	diff = 0.035032108
73257.336854371 [MEMLOG_E_S1_DONE]	diff = 0.000914890
73257.336855048 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73257.367968224 [MEMLOG_E_WCET_START]	diff = 0.031113176
73257.368905353 [MEMLOG_E_S1_DONE]	diff = 0.000937129
73257.368905978 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73257.399985978 [MEMLOG_E_WCET_START]	diff = 0.031080000
73257.400997638 [MEMLOG_E_S1_DONE]	diff = 0.001011660
73257.400998471 [MEMLOG_E_S1_RUN]	diff = 0.000000833
73257.435981413 [MEMLOG_E_WCET_START]	diff = 0.034982942
73257.436907136 [MEMLOG_E_S1_DONE]	diff = 0.000925723
73257.436907761 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73257.467989948 [MEMLOG_E_WCET_START]	diff = 0.031082187
73257.468907702 [MEMLOG_E_S1_DONE]	diff = 0.000917754
73257.468908067 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73257.499961192 [MEMLOG_E_WCET_START]	diff = 0.031053125
73257.500953060 [MEMLOG_E_S1_DONE]	diff = 0.000991868
73257.500953998 [MEMLOG_E_S1_RUN]	diff = 0.000000938
73257.535995950 [MEMLOG_E_WCET_START]	diff = 0.035041952
73257.536901569 [MEMLOG_E_S1_DONE]	diff = 0.000905619
73257.536901985 [MEMLOG_E_S1_RUN]	diff = 0.000000416
73257.567956829 [MEMLOG_E_WCET_START]	diff = 0.031054844
73257.568867916 [MEMLOG_E_S1_DONE]	diff = 0.000911087
73257.568868489 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73257.599986145 [MEMLOG_E_WCET_START]	diff = 0.031117656
73257.601007232 [MEMLOG_E_S1_DONE]	diff = 0.001021087
73257.601008065 [MEMLOG_E_S1_RUN]	diff = 0.000000833
73257.635953872 [MEMLOG_E_WCET_START]	diff = 0.034945807
73257.636875793 [MEMLOG_E_S1_DONE]	diff = 0.000921921
73257.636876366 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73257.667976938 [MEMLOG_E_WCET_START]	diff = 0.031100572
73257.668902661 [MEMLOG_E_S1_DONE]	diff = 0.000925723
73257.668903234 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73257.699964223 [MEMLOG_E_WCET_START]	diff = 0.031060989
73257.700925154 [MEMLOG_E_S1_DONE]	diff = 0.000960931
