72186.234320704 MEMLOG_E_WCET_START           diff = 0.009998716
72186.234321693 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.244320825 MEMLOG_E_WCET_START           diff = 0.009999132
72186.244321815 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.254323446 MEMLOG_E_WCET_START           diff = 0.010001631
72186.254324436 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.264321485 MEMLOG_E_WCET_START           diff = 0.009997049
72186.264322526 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.274321450 MEMLOG_E_WCET_START           diff = 0.009998924
72186.274322491 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.284321155 MEMLOG_E_WCET_START           diff = 0.009998664
72186.284322144 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.294320807 MEMLOG_E_WCET_START           diff = 0.009998663
72186.294321745 MEMLOG_E_S1_DONE              diff = 0.000000938
72186.304321085 MEMLOG_E_WCET_START           diff = 0.009999340
72186.304322075 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.314321050 MEMLOG_E_WCET_START           diff = 0.009998975
72186.314321988 MEMLOG_E_S1_DONE              diff = 0.000000938
72186.324320964 MEMLOG_E_WCET_START           diff = 0.009998976
72186.324321901 MEMLOG_E_S1_DONE              diff = 0.000000937
72186.334321293 MEMLOG_E_WCET_START           diff = 0.009999392
72186.334322283 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.344320946 MEMLOG_E_WCET_START           diff = 0.009998663
72186.344321988 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.354322891 MEMLOG_E_WCET_START           diff = 0.010000903
72186.354323880 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.364321554 MEMLOG_E_WCET_START           diff = 0.009997674
72186.364322491 MEMLOG_E_S1_DONE              diff = 0.000000937
72186.374320998 MEMLOG_E_WCET_START           diff = 0.009998507
72186.374321988 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.384320755 MEMLOG_E_WCET_START           diff = 0.009998767
72186.384321745 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.394321189 MEMLOG_E_WCET_START           diff = 0.009999444
72186.394322179 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.404320738 MEMLOG_E_WCET_START           diff = 0.009998559
72186.404321779 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.414321276 MEMLOG_E_WCET_START           diff = 0.009999497
72186.414322265 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.424320824 MEMLOG_E_WCET_START           diff = 0.009998559
72186.424321762 MEMLOG_E_S1_DONE              diff = 0.000000938
72186.434320790 MEMLOG_E_WCET_START           diff = 0.009999028
72186.434321779 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.444320859 MEMLOG_E_WCET_START           diff = 0.009999080
72186.444321901 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.454322595 MEMLOG_E_WCET_START           diff = 0.010000694
72186.454323533 MEMLOG_E_S1_DONE              diff = 0.000000938
72186.464320633 MEMLOG_E_WCET_START           diff = 0.009997100
72186.464321623 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.474320651 MEMLOG_E_WCET_START           diff = 0.009999028
72186.474321640 MEMLOG_E_S1_DONE              diff = 0.000000989
72186.484320928 MEMLOG_E_WCET_START           diff = 0.009999288
72186.484321918 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.494320217 MEMLOG_E_WCET_START           diff = 0.009998299
72186.494321258 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.504321328 MEMLOG_E_WCET_START           diff = 0.010000070
72186.504322369 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.514320720 MEMLOG_E_WCET_START           diff = 0.009998351
72186.514321762 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.524319956 MEMLOG_E_WCET_START           diff = 0.009998194
72186.524320998 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.534319817 MEMLOG_E_WCET_START           diff = 0.009998819
72186.534320807 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.544319418 MEMLOG_E_WCET_START           diff = 0.009998611
72186.544320459 MEMLOG_E_S1_DONE              diff = 0.000001041
72186.554330893 MEMLOG_E_WCET_START           diff = 0.010010434
72186.554331883 MEMLOG_E_S1_DONE              diff = 0.000000990
72186.564321327 MEMLOG_E_WCET_START           diff = 0.009989444
72186.564322369 MEMLOG_E_S1_DONE              diff = 0.000001042
72186.574320407 MEMLOG_E_WCET_START           diff = 0.009998038
72186.574321397 MEMLOG_E_S1_DONE              diff = 0.000000990
