85012.011097816 MEMLOG_E_WCET_START           diff = 0.013144752
85012.020413323 MEMLOG_E_ADATA                diff = 0.009315507 data:0
85012.020440094 MEMLOG_E_S1_DONE              diff = 0.000026771
85012.020440406 MEMLOG_E_S1_RUN               diff = 0.000000312
85012.043103789 MEMLOG_E_WCET_START           diff = 0.022663383
85012.051401126 MEMLOG_E_ADATA                diff = 0.008297337 data:0
85012.051426178 MEMLOG_E_S1_DONE              diff = 0.000025052
85012.051426438 MEMLOG_E_S1_RUN               diff = 0.000000260
85012.078713538 MEMLOG_E_WCET_START           diff = 0.027287100
85012.086987855 MEMLOG_E_ADATA                diff = 0.008274317 data:0
85012.087016657 MEMLOG_E_S1_DONE              diff = 0.000028802
85012.087016970 MEMLOG_E_S1_RUN               diff = 0.000000313
85012.110927687 MEMLOG_E_WCET_START           diff = 0.023910717
85012.119177993 MEMLOG_E_ADATA                diff = 0.008250306 data:0
85012.119198462 MEMLOG_E_S1_DONE              diff = 0.000020469
85012.119198879 MEMLOG_E_S1_RUN               diff = 0.000000417
85012.143113450 MEMLOG_E_WCET_START           diff = 0.023914571
85012.151411152 MEMLOG_E_ADATA                diff = 0.008297702 data:0
85012.151436569 MEMLOG_E_S1_DONE              diff = 0.000025417
85012.151436985 MEMLOG_E_S1_RUN               diff = 0.000000416
85012.178740387 MEMLOG_E_WCET_START           diff = 0.027303402
85012.187022517 MEMLOG_E_ADATA                diff = 0.008282130 data:0
85012.187052204 MEMLOG_E_S1_DONE              diff = 0.000029687
85012.187052412 MEMLOG_E_S1_RUN               diff = 0.000000208
85012.210931046 MEMLOG_E_WCET_START           diff = 0.023878634
85012.219187238 MEMLOG_E_ADATA                diff = 0.008256192 data:0
85012.219209061 MEMLOG_E_S1_DONE              diff = 0.000021823
85012.219209217 MEMLOG_E_S1_RUN               diff = 0.000000156
85012.243088997 MEMLOG_E_WCET_START           diff = 0.023879780
85012.251390554 MEMLOG_E_ADATA                diff = 0.008301557 data:0
85012.251414303 MEMLOG_E_S1_DONE              diff = 0.000023749
85012.251414460 MEMLOG_E_S1_RUN               diff = 0.000000157
85012.275277104 MEMLOG_E_WCET_START           diff = 0.023862644
85012.283551682 MEMLOG_E_ADATA                diff = 0.008274578 data:0
85012.283574286 MEMLOG_E_S1_DONE              diff = 0.000022604
85012.283574598 MEMLOG_E_S1_RUN               diff = 0.000000312
85012.310867688 MEMLOG_E_WCET_START           diff = 0.027293090
85012.319105598 MEMLOG_E_ADATA                diff = 0.008237910 data:0
85012.319128515 MEMLOG_E_S1_DONE              diff = 0.000022917
85012.319128827 MEMLOG_E_S1_RUN               diff = 0.000000312
85012.343126575 MEMLOG_E_WCET_START           diff = 0.023997748
85012.351439746 MEMLOG_E_ADATA                diff = 0.008313171 data:0
85012.351461569 MEMLOG_E_S1_DONE              diff = 0.000021823
85012.351461829 MEMLOG_E_S1_RUN               diff = 0.000000260
